zip,lat,long
601,-66.74778,18.181165
602,-67.18296,18.364275
603,-67.11304,18.449425
606,-66.94415,18.15928
610,-67.131615,18.286545
612,-66.674375,18.40427
616,-66.665515,18.41018
617,-66.557315,18.439955
622,-67.158775,17.99448
623,-67.154395,18.09441
624,-66.72044,18.05623
627,-66.856025,18.417265
631,-66.833075,18.18635
637,-66.93489,18.08581
638,-66.52528,18.268275
641,-66.713195,18.2442
646,-66.284965,18.43158
647,-66.945635,17.967005
650,-66.59713,18.347705
652,-66.613275,18.454155
653,-66.89132,17.986405
656,-66.788625,18.05947
659,-66.8018,18.40678
660,-67.1188,18.13214
662,-67.01846,18.45388
664,-66.59285,18.225
667,-67.037325,18.01069
669,-66.8786,18.269265
670,-66.989955,18.238855
674,-66.48774,18.417965
676,-67.08108,18.383805
677,-67.226735,18.33659
678,-66.93371,18.428055
680,-67.481375,18.157735
682,-67.15144,18.212535
683,-67.039735,18.113255
685,-66.972225,18.34331
687,-66.41521,18.316885
688,-66.63024,18.38239
690,-67.09767,18.493375
692,-66.33895,18.408465
693,-66.394995,18.417615
694,-66.38852,18.48183
698,-66.855075,18.060525
703,-66.131795,18.243075
704,-66.21477,17.966975
705,-66.26867,18.125425
707,-65.91972,18.02098
714,-66.057425,17.99665
715,-66.558585,18.008235
716,-66.60053,18.001645
717,-66.61458,18.00437
718,-65.75161,18.23769
719,-66.25938,18.28753
720,-66.434035,18.22858
723,-65.99952,18.038735
725,-66.050445,18.21608
727,-66.07916,18.212255
728,-66.661575,18.011375
729,-65.88387,18.333215
730,-66.61205,18.03086
731,-66.63348,18.097555
735,-65.697,18.247865
736,-66.143505,18.10432
738,-65.65892,18.329585
739,-66.17233,18.18207
740,-65.634445,18.333635
741,-65.757075,18.16436
745,-65.81363,18.34775
751,-66.254345,18.004075
754,-65.98667,18.15245
757,-66.391595,17.99075
765,-65.42176,18.125905
766,-66.483,18.142795
767,-65.90378,18.06855
769,-66.34866,18.095375
